row_id,dataset,prompt_id,index,model,score,cost,prompt_tokens,completion_tokens
AIME_2|Qwen2.5-Coder-7B-Instruct,AIME,AIME_2,2,Qwen2.5-Coder-7B-Instruct,0,0,267,958
AIME_2|Llama-3.1-8B-Instruct,AIME,AIME_2,2,Llama-3.1-8B-Instruct,0,2.22E-05,273,907
AIME_2|gemma-2-9b-it,AIME,AIME_2,2,gemma-2-9b-it,0,2.35E-05,230,526
AIME_2|Llama-3.1-8B-UltraMedical,AIME,AIME_2,2,Llama-3.1-8B-UltraMedical,0,2.61E-05,248,1118
AIME_2|DeepHermes-3-Llama-3-8B-Preview,AIME,AIME_2,2,DeepHermes-3-Llama-3-8B-Preview,0,5.96E-05,248,474
AIME_2|Fin-R1,AIME,AIME_2,2,Fin-R1,0,0.00017778,267,1671
AIME_2|NVIDIA-Nemotron-Nano-9B-v2,AIME,AIME_2,2,NVIDIA-Nemotron-Nano-9B-v2,0,0.0034374,235,21425
AIME_2|deepseek-v3-0324,AIME,AIME_2,2,deepseek-v3-0324,0,0.00394573,221,4421
AIME_2|Intern-S1-mini,AIME,AIME_2,2,Intern-S1-mini,0,0.00449026,308,32460
AIME_2|intern-s1,AIME,AIME_2,2,intern-s1,0,0.0101502,395,18665
AIME_2|claude-sonnet-4,AIME,AIME_2,2,claude-sonnet-4,0,0.025254,268,1630
AIME_3|GLM-Z1-9B-0414,AIME,AIME_3,3,GLM-Z1-9B-0414,1,0,192,1863
AIME_3|internlm3-8b-instruct,AIME,AIME_3,3,internlm3-8b-instruct,1,0,199,1033
AIME_3|MiniCPM4.1-8B,AIME,AIME_3,3,MiniCPM4.1-8B,1,0,200,6177
AIME_3|OpenThinker3-7B,AIME,AIME_3,3,OpenThinker3-7B,1,0,213,8331
AIME_3|Llama-3.1-8B-Instruct,AIME,AIME_3,3,Llama-3.1-8B-Instruct,1,1.29E-05,218,480
AIME_3|gemma-2-9b-it,AIME,AIME_3,3,gemma-2-9b-it,1,2.62E-05,187,624
AIME_3|Llama-3.1-Nemotron-Nano-8B-v1,AIME,AIME_3,3,Llama-3.1-Nemotron-Nano-8B-v1,1,6.50E-05,198,3102
AIME_3|Fin-R1,AIME,AIME_3,3,Fin-R1,1,9.50E-05,213,865
AIME_3|DeepSeek-R1-Distill-Qwen-7B,AIME,AIME_3,3,DeepSeek-R1-Distill-Qwen-7B,1,0.00036066,189,3531
AIME_3|gpt-5-chat,AIME,AIME_3,3,gpt-5-chat,1,0.000403625,186,784
AIME_3|NVIDIA-Nemotron-Nano-9B-v2,AIME,AIME_3,3,NVIDIA-Nemotron-Nano-9B-v2,1,0.00041768,194,2562
AIME_3|DeepSeek-R1-0528-Qwen3-8B,AIME,AIME_3,3,DeepSeek-R1-0528-Qwen3-8B,1,0.0005302,187,4769
AIME_3|Qwen3-8B,AIME,AIME_3,3,Qwen3-8B,1,0.000695892,192,4994
AIME_3|Intern-S1-mini,AIME,AIME_3,3,Intern-S1-mini,1,0.000902992,254,6479
AIME_3|deepseek-v3.1-terminus,AIME,AIME_3,3,deepseek-v3.1-terminus,1,0.0009526,180,904
AIME_3|deepseek-v3-0324,AIME,AIME_3,3,deepseek-v3-0324,1,0.00115179,179,1258
AIME_3|qwen3-235b-a22b-2507,AIME,AIME_3,3,qwen3-235b-a22b-2507,1,0.0014088,192,1725
AIME_3|gemini-2.5-flash,AIME,AIME_3,3,gemini-2.5-flash,1,0.0025034,178,980
AIME_3|kimi-k2-0905,AIME,AIME_3,3,kimi-k2-0905,1,0.0027195,207,1308
AIME_3|glm-4.6,AIME,AIME_3,3,glm-4.6,1,0.0060418,188,2695
AIME_3|intern-s1,AIME,AIME_3,3,intern-s1,1,0.00661212,341,12131
AIME_3|qwen3-235b-a22b-thinking-2507,AIME,AIME_3,3,qwen3-235b-a22b-thinking-2507,1,0.007848,194,6443
AIME_3|gpt-5,AIME,AIME_3,3,gpt-5,1,0.00937125,185,914
AIME_3|claude-sonnet-4,AIME,AIME_3,3,claude-sonnet-4,1,0.012603,201,800
AIME_3|deepseek-r1-0528,AIME,AIME_3,3,deepseek-r1-0528,1,0.01291855,179,5967
AIME_3|gemini-2.5-pro,AIME,AIME_3,3,gemini-2.5-pro,1,0.0771325,178,7691
AIME_3|cogito-v1-preview-llama-8B,AIME,AIME_3,3,cogito-v1-preview-llama-8B,0,0,193,362
AIME_3|glm-4-9b-chat,AIME,AIME_3,3,glm-4-9b-chat,0,0,188,807
AIME_3|granite-3.3-8b-instruct,AIME,AIME_3,3,granite-3.3-8b-instruct,0,0,254,1012
AIME_3|MiMo-7B-RL-0530,AIME,AIME_3,3,MiMo-7B-RL-0530,0,0,209,2048
AIME_3|Qwen2.5-Coder-7B-Instruct,AIME,AIME_3,3,Qwen2.5-Coder-7B-Instruct,0,0,213,579
AIME_3|Llama-3.1-8B-UltraMedical,AIME,AIME_3,3,Llama-3.1-8B-UltraMedical,0,1.63E-05,193,671
AIME_3|DeepHermes-3-Llama-3-8B-Preview,AIME,AIME_3,3,DeepHermes-3-Llama-3-8B-Preview,0,4.13E-05,193,323
AIME_4|GLM-Z1-9B-0414,AIME,AIME_4,4,GLM-Z1-9B-0414,1,0,164,5009
AIME_4|MiniCPM4.1-8B,AIME,AIME_4,4,MiniCPM4.1-8B,1,0,175,7065
AIME_4|OpenThinker3-7B,AIME,AIME_4,4,OpenThinker3-7B,1,0,186,11579
AIME_4|Llama-3.1-Nemotron-Nano-8B-v1,AIME,AIME_4,4,Llama-3.1-Nemotron-Nano-8B-v1,1,7.40E-05,170,3570
AIME_4|DeepSeek-R1-Distill-Qwen-7B,AIME,AIME_4,4,DeepSeek-R1-Distill-Qwen-7B,1,0.00044448,162,4380
AIME_4|NVIDIA-Nemotron-Nano-9B-v2,AIME,AIME_4,4,NVIDIA-Nemotron-Nano-9B-v2,1,0.00067432,174,4171
AIME_4|gpt-5-chat,AIME,AIME_4,4,gpt-5-chat,1,0.0007779375,159,1536
AIME_4|DeepSeek-R1-0528-Qwen3-8B,AIME,AIME_4,4,DeepSeek-R1-0528-Qwen3-8B,1,0.00078789,160,7119
AIME_4|Qwen3-8B,AIME,AIME_4,4,Qwen3-8B,1,0.001034151,165,7452
AIME_4|Intern-S1-mini,AIME,AIME_4,4,Intern-S1-mini,1,0.001527739,227,11013
AIME_4|deepseek-v3.1-terminus,AIME,AIME_4,4,deepseek-v3.1-terminus,1,0.00186566,158,1823
AIME_4|deepseek-v3-0324,AIME,AIME_4,4,deepseek-v3-0324,1,0.00210461,157,2347
AIME_4|intern-s1,AIME,AIME_4,4,intern-s1,1,0.00280782,314,5095
AIME_4|qwen3-235b-a22b-2507,AIME,AIME_4,4,qwen3-235b-a22b-2507,1,0.00481195,165,5984
AIME_4|gemini-2.5-flash,AIME,AIME_4,4,gemini-2.5-flash,1,0.0070946,157,2819
AIME_4|kimi-k2-0905,AIME,AIME_4,4,kimi-k2-0905,1,0.0087115,183,4310
AIME_4|glm-4.6,AIME,AIME_4,4,glm-4.6,1,0.01323,160,5970
AIME_4|gpt-5,AIME,AIME_4,4,gpt-5,1,0.0183075,158,1811
AIME_4|deepseek-r1-0528,AIME,AIME_4,4,deepseek-r1-0528,1,0.02128395,157,9863
AIME_4|qwen3-235b-a22b-thinking-2507,AIME,AIME_4,4,qwen3-235b-a22b-thinking-2507,1,0.0217218,167,18018
AIME_4|claude-sonnet-4,AIME,AIME_4,4,claude-sonnet-4,1,0.023715,170,1547
AIME_4|gemini-2.5-pro,AIME,AIME_4,4,gemini-2.5-pro,1,0.11873625,157,11854
AIME_4|cogito-v1-preview-llama-8B,AIME,AIME_4,4,cogito-v1-preview-llama-8B,0,0,165,344
AIME_4|glm-4-9b-chat,AIME,AIME_4,4,glm-4-9b-chat,0,0,160,32608
AIME_4|granite-3.3-8b-instruct,AIME,AIME_4,4,granite-3.3-8b-instruct,0,0,222,1452
AIME_4|internlm3-8b-instruct,AIME,AIME_4,4,internlm3-8b-instruct,0,0,176,6344
AIME_4|MiMo-7B-RL-0530,AIME,AIME_4,4,MiMo-7B-RL-0530,0,0,182,2048
AIME_4|Qwen2.5-Coder-7B-Instruct,AIME,AIME_4,4,Qwen2.5-Coder-7B-Instruct,0,0,186,577
AIME_4|Llama-3.1-8B-Instruct,AIME,AIME_4,4,Llama-3.1-8B-Instruct,0,1.49E-05,190,602
AIME_4|gemma-2-9b-it,AIME,AIME_4,4,gemma-2-9b-it,0,1.63E-05,166,360
AIME_4|Llama-3.1-8B-UltraMedical,AIME,AIME_4,4,Llama-3.1-8B-UltraMedical,0,1.69E-05,165,721
AIME_4|DeepHermes-3-Llama-3-8B-Preview,AIME,AIME_4,4,DeepHermes-3-Llama-3-8B-Preview,0,7.08E-05,165,599
AIME_4|Fin-R1,AIME,AIME_4,4,Fin-R1,0,0.00024074,186,2333
AIME_5|NVIDIA-Nemotron-Nano-9B-v2,AIME,AIME_5,5,NVIDIA-Nemotron-Nano-9B-v2,1,0.00245032,166,15273
AIME_5|qwen3-235b-a22b-thinking-2507,AIME,AIME_5,5,qwen3-235b-a22b-thinking-2507,1,0.0210666,163,17474
AIME_5|deepseek-r1-0528,AIME,AIME_5,5,deepseek-r1-0528,1,0.0251521,149,11664
AIME_5|gemini-2.5-pro,AIME,AIME_5,5,gemini-2.5-pro,1,0.09290875,151,9272
AIME_5|gpt-5,AIME,AIME_5,5,gpt-5,1,0.1380825,154,13789
AIME_5|cogito-v1-preview-llama-8B,AIME,AIME_5,5,cogito-v1-preview-llama-8B,0,0,160,387
AIME_5|glm-4-9b-chat,AIME,AIME_5,5,glm-4-9b-chat,0,0,155,827
AIME_5|GLM-Z1-9B-0414,AIME,AIME_5,5,GLM-Z1-9B-0414,0,0,159,12500
AIME_5|granite-3.3-8b-instruct,AIME,AIME_5,5,granite-3.3-8b-instruct,0,0,220,1367
AIME_5|internlm3-8b-instruct,AIME,AIME_5,5,internlm3-8b-instruct,0,0,166,913
AIME_5|MiMo-7B-RL-0530,AIME,AIME_5,5,MiMo-7B-RL-0530,0,0,178,2048
AIME_5|MiniCPM4.1-8B,AIME,AIME_5,5,MiniCPM4.1-8B,0,0,170,32598
AIME_5|OpenThinker3-7B,AIME,AIME_5,5,OpenThinker3-7B,0,0,182,19408
AIME_5|Qwen2.5-Coder-7B-Instruct,AIME,AIME_5,5,Qwen2.5-Coder-7B-Instruct,0,0,182,717
AIME_5|gemma-2-9b-it,AIME,AIME_5,5,gemma-2-9b-it,0,2.67E-05,160,653
AIME_5|Llama-3.1-8B-Instruct,AIME,AIME_5,5,Llama-3.1-8B-Instruct,0,2.96E-05,185,1343
AIME_5|Llama-3.1-8B-UltraMedical,AIME,AIME_5,5,Llama-3.1-8B-UltraMedical,0,4.02E-05,160,1888
AIME_5|DeepHermes-3-Llama-3-8B-Preview,AIME,AIME_5,5,DeepHermes-3-Llama-3-8B-Preview,0,4.68E-05,160,382
AIME_5|Llama-3.1-Nemotron-Nano-8B-v1,AIME,AIME_5,5,Llama-3.1-Nemotron-Nano-8B-v1,0,0.000163015,165,8027
AIME_5|Fin-R1,AIME,AIME_5,5,Fin-R1,0,0.00080828,182,8010
AIME_5|gpt-5-chat,AIME,AIME_5,5,gpt-5-chat,0,0.0010571875,155,2095
AIME_5|DeepSeek-R1-Distill-Qwen-7B,AIME,AIME_5,5,DeepSeek-R1-Distill-Qwen-7B,0,0.00162892,158,16226
AIME_5|deepseek-v3-0324,AIME,AIME_5,5,deepseek-v3-0324,0,0.00203661,149,2272
AIME_5|Qwen3-8B,AIME,AIME_5,5,Qwen3-8B,0,0.002798893,161,20241
AIME_5|DeepSeek-R1-0528-Qwen3-8B,AIME,AIME_5,5,DeepSeek-R1-0528-Qwen3-8B,0,0.00331458,156,30090
AIME_5|deepseek-v3.1-terminus,AIME,AIME_5,5,deepseek-v3.1-terminus,0,0.0042775,150,4237
AIME_5|Intern-S1-mini,AIME,AIME_5,5,Intern-S1-mini,0,0.004499015,223,32545
AIME_5|qwen3-235b-a22b-2507,AIME,AIME_5,5,qwen3-235b-a22b-2507,0,0.00827135,161,10309
AIME_5|intern-s1,AIME,AIME_5,5,intern-s1,0,0.00912348,310,16792
AIME_5|kimi-k2-0905,AIME,AIME_5,5,kimi-k2-0905,0,0.0174515,175,8682
AIME_5|claude-sonnet-4,AIME,AIME_5,5,claude-sonnet-4,0,0.023628,171,1541
AIME_5|glm-4.6,AIME,AIME_5,5,glm-4.6,0,0.1442722,155,65536
AIME_5|gemini-2.5-flash,AIME,AIME_5,5,gemini-2.5-flash,0,0.1638853,151,65536
AIME_6|cogito-v1-preview-llama-8B,AIME,AIME_6,6,cogito-v1-preview-llama-8B,0,0,150,663
AIME_6|glm-4-9b-chat,AIME,AIME_6,6,glm-4-9b-chat,0,0,145,1427
AIME_6|GLM-Z1-9B-0414,AIME,AIME_6,6,GLM-Z1-9B-0414,0,0,149,12992
AIME_6|granite-3.3-8b-instruct,AIME,AIME_6,6,granite-3.3-8b-instruct,0,0,207,1489
AIME_6|internlm3-8b-instruct,AIME,AIME_6,6,internlm3-8b-instruct,0,0,154,1896
AIME_6|MiMo-7B-RL-0530,AIME,AIME_6,6,MiMo-7B-RL-0530,0,0,165,2048
AIME_6|MiniCPM4.1-8B,AIME,AIME_6,6,MiniCPM4.1-8B,0,0,164,32604
AIME_6|OpenThinker3-7B,AIME,AIME_6,6,OpenThinker3-7B,0,0,169,12003
AIME_6|Qwen2.5-Coder-7B-Instruct,AIME,AIME_6,6,Qwen2.5-Coder-7B-Instruct,0,0,169,1527
AIME_6|qwen3-235b-a22b-thinking-2507,AIME,AIME_6,6,qwen3-235b-a22b-thinking-2507,0,0,0,0
AIME_6|gemma-2-9b-it,AIME,AIME_6,6,gemma-2-9b-it,0,1.93E-05,148,454
AIME_6|Llama-3.1-8B-UltraMedical,AIME,AIME_6,6,Llama-3.1-8B-UltraMedical,0,3.60E-05,150,1689
AIME_6|Fin-R1,AIME,AIME_6,6,Fin-R1,0,0.00014026,169,1335
AIME_6|Llama-3.1-8B-Instruct,AIME,AIME_6,6,Llama-3.1-8B-Instruct,0,0.000162965,175,8017
AIME_6|Llama-3.1-Nemotron-Nano-8B-v1,AIME,AIME_6,6,Llama-3.1-Nemotron-Nano-8B-v1,0,0.000163065,155,8037
AIME_6|DeepSeek-R1-Distill-Qwen-7B,AIME,AIME_6,6,DeepSeek-R1-Distill-Qwen-7B,0,0.0016297,145,16239
AIME_6|deepseek-v3-0324,AIME,AIME_6,6,deepseek-v3-0324,0,0.00176433,137,1966
AIME_6|gpt-5-chat,AIME,AIME_6,6,gpt-5-chat,0,0.0018385,144,3659
AIME_6|Qwen3-8B,AIME,AIME_6,6,Qwen3-8B,0,0.003127706,148,22627
AIME_6|DeepSeek-R1-0528-Qwen3-8B,AIME,AIME_6,6,DeepSeek-R1-0528-Qwen3-8B,0,0.00338195,143,30706
AIME_6|DeepHermes-3-Llama-3-8B-Preview,AIME,AIME_6,6,DeepHermes-3-Llama-3-8B-Preview,0,0.00359248,150,32618
AIME_6|NVIDIA-Nemotron-Nano-9B-v2,AIME,AIME_6,6,NVIDIA-Nemotron-Nano-9B-v2,0,0.00406796,151,25387
AIME_6|deepseek-v3.1-terminus,AIME,AIME_6,6,deepseek-v3.1-terminus,0,0.00412126,138,4084
AIME_6|Intern-S1-mini,AIME,AIME_6,6,Intern-S1-mini,0,0.004500354,210,32558
AIME_6|kimi-k2-0905,AIME,AIME_6,6,kimi-k2-0905,0,0.0081165,165,4017
AIME_6|qwen3-235b-a22b-2507,AIME,AIME_6,6,qwen3-235b-a22b-2507,0,0.008471,148,10561
AIME_6|intern-s1,AIME,AIME_6,6,intern-s1,0,0.00912114,297,16792
AIME_6|claude-sonnet-4,AIME,AIME_6,6,claude-sonnet-4,0,0.019389,168,1259
AIME_6|gemini-2.5-flash,AIME,AIME_6,6,gemini-2.5-flash,0,0.0520117,139,20788
AIME_6|deepseek-r1-0528,AIME,AIME_6,6,deepseek-r1-0528,0,0.07024665,137,32641
AIME_6|glm-4.6,AIME,AIME_6,6,glm-4.6,0,0.1442662,145,65536
AIME_6|gpt-5,AIME,AIME_6,6,gpt-5,0,0.24732875,143,24715
AIME_6|gemini-2.5-pro,AIME,AIME_6,6,gemini-2.5-pro,0,0.34688375,139,34671
AIME_7|qwen3-235b-a22b-2507,AIME,AIME_7,7,qwen3-235b-a22b-2507,1,0.00970465,143,12104
AIME_7|glm-4.6,AIME,AIME_7,7,glm-4.6,1,0.0442468,140,20074
AIME_7|gpt-5,AIME,AIME_7,7,gpt-5,1,0.1125525,138,11238
AIME_7|cogito-v1-preview-llama-8B,AIME,AIME_7,7,cogito-v1-preview-llama-8B,0,0,145,403
AIME_7|glm-4-9b-chat,AIME,AIME_7,7,glm-4-9b-chat,0,0,140,562
AIME_7|GLM-Z1-9B-0414,AIME,AIME_7,7,GLM-Z1-9B-0414,0,0,144,14017
AIME_7|granite-3.3-8b-instruct,AIME,AIME_7,7,granite-3.3-8b-instruct,0,0,199,806
AIME_7|internlm3-8b-instruct,AIME,AIME_7,7,internlm3-8b-instruct,0,0,149,775
AIME_7|MiMo-7B-RL-0530,AIME,AIME_7,7,MiMo-7B-RL-0530,0,0,160,2048
AIME_7|MiniCPM4.1-8B,AIME,AIME_7,7,MiniCPM4.1-8B,0,0,149,28057
AIME_7|OpenThinker3-7B,AIME,AIME_7,7,OpenThinker3-7B,0,0,164,20684
AIME_7|Qwen2.5-Coder-7B-Instruct,AIME,AIME_7,7,Qwen2.5-Coder-7B-Instruct,0,0,164,929
AIME_7|qwen3-235b-a22b-thinking-2507,AIME,AIME_7,7,qwen3-235b-a22b-thinking-2507,0,0,0,0
AIME_7|gemma-2-9b-it,AIME,AIME_7,7,gemma-2-9b-it,0,1.31E-05,141,286
AIME_7|Llama-3.1-8B-UltraMedical,AIME,AIME_7,7,Llama-3.1-8B-UltraMedical,0,1.86E-05,145,822
AIME_7|Llama-3.1-8B-Instruct,AIME,AIME_7,7,Llama-3.1-8B-Instruct,0,3.93E-05,170,1837
AIME_7|DeepHermes-3-Llama-3-8B-Preview,AIME,AIME_7,7,DeepHermes-3-Llama-3-8B-Preview,0,7.62E-05,145,653
AIME_7|Llama-3.1-Nemotron-Nano-8B-v1,AIME,AIME_7,7,Llama-3.1-Nemotron-Nano-8B-v1,0,0.00016309,150,8042
AIME_7|Fin-R1,AIME,AIME_7,7,Fin-R1,0,0.00022736,164,2208
AIME_7|gpt-5-chat,AIME,AIME_7,7,gpt-5-chat,0,0.0015146875,139,3012
AIME_7|DeepSeek-R1-Distill-Qwen-7B,AIME,AIME_7,7,DeepSeek-R1-Distill-Qwen-7B,0,0.00163,140,16244
AIME_7|NVIDIA-Nemotron-Nano-9B-v2,AIME,AIME_7,7,NVIDIA-Nemotron-Nano-9B-v2,0,0.00212412,147,13239
AIME_7|deepseek-v3-0324,AIME,AIME_7,7,deepseek-v3-0324,0,0.00234702,134,2629
AIME_7|DeepSeek-R1-0528-Qwen3-8B,AIME,AIME_7,7,DeepSeek-R1-0528-Qwen3-8B,0,0.00355285,138,32261
AIME_7|deepseek-v3.1-terminus,AIME,AIME_7,7,deepseek-v3.1-terminus,0,0.00359945,135,3563
AIME_7|Qwen3-8B,AIME,AIME_7,7,Qwen3-8B,0,0.003990169,143,28878
AIME_7|Intern-S1-mini,AIME,AIME_7,7,Intern-S1-mini,0,0.004500869,205,32563
AIME_7|intern-s1,AIME,AIME_7,7,intern-s1,0,0.01013166,292,18665
AIME_7|claude-sonnet-4,AIME,AIME_7,7,claude-sonnet-4,0,0.019506,152,1270
AIME_7|kimi-k2-0905,AIME,AIME_7,7,kimi-k2-0905,0,0.019886,160,9903
AIME_7|gemini-2.5-flash,AIME,AIME_7,7,gemini-2.5-flash,0,0.0380921,132,15221
AIME_7|deepseek-r1-0528,AIME,AIME_7,7,deepseek-r1-0528,0,0.0702516,134,32644
AIME_7|gemini-2.5-pro,AIME,AIME_7,7,gemini-2.5-pro,0,0.356885,132,35672
AIME_8|GLM-Z1-9B-0414,AIME,AIME_8,8,GLM-Z1-9B-0414,1,0,134,4122
AIME_8|MiniCPM4.1-8B,AIME,AIME_8,8,MiniCPM4.1-8B,1,0,159,22587
AIME_8|DeepSeek-R1-0528-Qwen3-8B,AIME,AIME_8,8,DeepSeek-R1-0528-Qwen3-8B,1,0.00159099,134,14427
AIME_8|Intern-S1-mini,AIME,AIME_8,8,Intern-S1-mini,1,0.001971879,201,14238
AIME_8|Qwen3-8B,AIME,AIME_8,8,Qwen3-8B,1,0.002571389,139,18598
AIME_8|gpt-5-chat,AIME,AIME_8,8,gpt-5-chat,1,0.0026395625,129,5263
AIME_8|NVIDIA-Nemotron-Nano-9B-v2,AIME,AIME_8,8,NVIDIA-Nemotron-Nano-9B-v2,1,0.00282856,146,17642
AIME_8|deepseek-v3.1-terminus,AIME,AIME_8,8,deepseek-v3.1-terminus,1,0.00461129,127,4577
AIME_8|kimi-k2-0905,AIME,AIME_8,8,kimi-k2-0905,1,0.0087215,151,4323
AIME_8|qwen3-235b-a22b-2507,AIME,AIME_8,8,qwen3-235b-a22b-2507,1,0.00945845,139,11797
AIME_8|gemini-2.5-flash,AIME,AIME_8,8,gemini-2.5-flash,1,0.0155915,130,6221
AIME_8|qwen3-235b-a22b-thinking-2507,AIME,AIME_8,8,qwen3-235b-a22b-thinking-2507,1,0.0224334,141,18624
AIME_8|glm-4.6,AIME,AIME_8,8,glm-4.6,1,0.0284866,130,12913
